SKU_ID,ASIN,Product_Title,Brand,Category,Seller_Name,MRP_INR,Selling_Price_INR,Base_Discount_%,Stock_Quantity,Rating,Total_Reviews,Is_Prime,Product_URL
RKWI-SUR-BEA-10011,B0HR62GDSW,Surf Excel Beauty & Hygiene Product (750ml),Surf Excel,Beauty & Hygiene,RK World InfoCom Private Limited,903.45,673.07,25.5,779,3.8,10186,True,https://www.amazon.in/dp/B0HR62GDSW
RKWI-NIV-BAB-10012,B09W1Q5UZN,Nivea Baby Care Product (100g),Nivea,Baby Care,RK World InfoCom Private Limited,1058.17,966.11,8.7,714,3.5,24622,False,https://www.amazon.in/dp/B09W1Q5UZN
RKWI-DOV-BEA-10013,B08SBI4Q2Y,Dove Beauty & Hygiene Product (1L),Dove,Beauty & Hygiene,RK World InfoCom Private Limited,2469.94,1978.42,19.9,982,4.6,14517,True,https://www.amazon.in/dp/B08SBI4Q2Y
RKWI-PON-ORA-10014,B0T60RJIW1,Pond's Oral Care Product (Single Unit),Pond's,Oral Care,Cocoblu Retail,1350.12,1070.65,20.7,291,4.1,23396,True,https://www.amazon.in/dp/B0T60RJIW1
RKWI-DET-HOM-10015,B0CFNFHOLQ,Dettol Home Care Product (Pack of 3),Dettol,Home Care,Cocoblu Retail,248.44,184.34,25.8,408,4.8,19154,False,https://www.amazon.in/dp/B0CFNFHOLQ
RKWI-COL-ORA-10016,B07KO64T02,Colgate Oral Care Product (Single Unit),Colgate,Oral Care,RK World InfoCom Private Limited,2253.75,1866.11,17.2,289,4.1,966,True,https://www.amazon.in/dp/B07KO64T02
RKWI-HIM-HEA-10017,B0479T6VXD,Himalaya Health & Wellness Product (Single Unit),Himalaya,Health & Wellness,Appario Retail Private Ltd,1127.67,826.58,26.7,196,3.6,12437,True,https://www.amazon.in/dp/B0479T6VXD
RKWI-SEN-HOM-10018,B0N13JCAT9,Sensodyne Home Care Product (Pack of 3),Sensodyne,Home Care,Appario Retail Private Ltd,938.9,738.91,21.3,809,4.8,1334,True,https://www.amazon.in/dp/B0N13JCAT9
RKWI-NIV-BAB-10019,B0IRE8QJNV,Nivea Baby Care Product (100g),Nivea,Baby Care,Appario Retail Private Ltd,2411.96,1857.21,23.0,806,4.6,10207,True,https://www.amazon.in/dp/B0IRE8QJNV
RKWI-COL-HOM-10020,B0ZCYWD14V,Colgate Home Care Product (Single Unit),Colgate,Home Care,RK World InfoCom Private Limited,389.53,274.23,29.6,811,3.6,17471,True,https://www.amazon.in/dp/B0ZCYWD14V
RKWI-SUR-PER-10021,B0PRPN6QFG,Surf Excel Personal Care Product (Pack of 3),Surf Excel,Personal Care,RK World InfoCom Private Limited,1351.19,1063.39,21.3,640,4.6,17649,True,https://www.amazon.in/dp/B0PRPN6QFG
RKWI-SEN-BEA-10022,B0I7KQ1UYM,Sensodyne Beauty & Hygiene Product (Pack of 2),Sensodyne,Beauty & Hygiene,RK World InfoCom Private Limited,1285.34,1116.96,13.1,509,3.8,8480,True,https://www.amazon.in/dp/B0I7KQ1UYM
RKWI-VAS-HEA-10023,B0SGIOTIRZ,Vaseline Health & Wellness Product (Pack of 2),Vaseline,Health & Wellness,RK World InfoCom Private Limited,1174.62,1111.19,5.4,311,3.8,22683,True,https://www.amazon.in/dp/B0SGIOTIRZ
RKWI-HIM-ORA-10024,B0TP0LZJJE,Himalaya Oral Care Product (Pack of 3),Himalaya,Oral Care,RK World InfoCom Private Limited,561.2,516.3,8.0,558,4.8,22630,True,https://www.amazon.in/dp/B0TP0LZJJE
RKWI-NIV-HEA-10025,B0V1V93KMK,Nivea Health & Wellness Product (750ml),Nivea,Health & Wellness,RK World InfoCom Private Limited,1798.24,1650.78,8.2,56,4.9,18147,True,https://www.amazon.in/dp/B0V1V93KMK
RKWI-PAM-HEA-10026,B0AKRM8J5E,Pampers Health & Wellness Product (750ml),Pampers,Health & Wellness,RK World InfoCom Private Limited,255.82,211.56,17.3,600,4.4,1771,True,https://www.amazon.in/dp/B0AKRM8J5E
RKWI-VAS-HOM-10027,B0E1V2ISQP,Vaseline Home Care Product (250ml),Vaseline,Home Care,Cloudtail India,2163.4,1518.71,29.8,322,4.3,1988,True,https://www.amazon.in/dp/B0E1V2ISQP
RKWI-PON-PER-10028,B0JCITFOYQ,Pond's Personal Care Product (1L),Pond's,Personal Care,Appario Retail Private Ltd,177.34,155.7,12.2,299,4.5,14892,True,https://www.amazon.in/dp/B0JCITFOYQ
RKWI-NIV-HOM-10029,B0TX63CFL0,Nivea Home Care Product (1L),Nivea,Home Care,RK World InfoCom Private Limited,1465.1,1286.36,12.2,137,4.2,9979,True,https://www.amazon.in/dp/B0TX63CFL0
RKWI-DET-ORA-10030,B0V60VAIY4,Dettol Oral Care Product (750ml),Dettol,Oral Care,RK World InfoCom Private Limited,1508.1,1425.15,5.5,793,4.4,8846,True,https://www.amazon.in/dp/B0V60VAIY4
RKWI-PAM-BEA-10031,B0GVWRDMLY,Pampers Beauty & Hygiene Product (750ml),Pampers,Beauty & Hygiene,Cloudtail India,2157.56,1872.76,13.2,720,4.2,21726,False,https://www.amazon.in/dp/B0GVWRDMLY
RKWI-L'O-PER-10032,B0JE153A5Q,L'Oreal Personal Care Product (750ml),L'Oreal,Personal Care,RK World InfoCom Private Limited,229.09,187.85,18.0,647,4.6,20508,True,https://www.amazon.in/dp/B0JE153A5Q
RKWI-COL-BAB-10033,B07PZE9VIF,Colgate Baby Care Product (Pack of 2),Colgate,Baby Care,RK World InfoCom Private Limited,1421.01,1153.86,18.8,105,3.8,3732,True,https://www.amazon.in/dp/B07PZE9VIF
RKWI-DOV-HEA-10034,B0ZSJ49ITN,Dove Health & Wellness Product (500g),Dove,Health & Wellness,RK World InfoCom Private Limited,2311.48,1902.35,17.7,910,3.7,2302,True,https://www.amazon.in/dp/B0ZSJ49ITN
RKWI-ARI-HOM-10035,B0KKV9RFTM,Ariel Home Care Product (Pack of 2),Ariel,Home Care,Cocoblu Retail,1423.6,1158.81,18.6,476,4.8,6196,False,https://www.amazon.in/dp/B0KKV9RFTM
RKWI-NIV-ORA-10036,B01B0Z3NX3,Nivea Oral Care Product (Single Unit),Nivea,Oral Care,RK World InfoCom Private Limited,2452.96,2026.14,17.4,47,3.7,19354,True,https://www.amazon.in/dp/B01B0Z3NX3
RKWI-DOV-BEA-10037,B0Q0OXFQ8M,Dove Beauty & Hygiene Product (250ml),Dove,Beauty & Hygiene,RK World InfoCom Private Limited,1761.49,1388.05,21.2,882,4.0,22112,False,https://www.amazon.in/dp/B0Q0OXFQ8M
RKWI-ARI-HOM-10038,B0BCW790PD,Ariel Home Care Product (750ml),Ariel,Home Care,Cocoblu Retail,1619.99,1185.83,26.8,464,3.7,9827,False,https://www.amazon.in/dp/B0BCW790PD
RKWI-COL-HOM-10039,B0NFTU2GC5,Colgate Home Care Product (100g),Colgate,Home Care,RK World InfoCom Private Limited,1586.3,1411.81,11.0,944,4.3,7623,True,https://www.amazon.in/dp/B0NFTU2GC5
RKWI-DET-BEA-10040,B06QKTC89K,Dettol Beauty & Hygiene Product (Pack of 2),Dettol,Beauty & Hygiene,Appario Retail Private Ltd,2407.87,1870.91,22.3,477,4.7,6542,False,https://www.amazon.in/dp/B06QKTC89K
RKWI-SEN-PER-10041,B0MKZA3OA5,Sensodyne Personal Care Product (1L),Sensodyne,Personal Care,RK World InfoCom Private Limited,1966.95,1390.63,29.3,942,4.3,16291,True,https://www.amazon.in/dp/B0MKZA3OA5
RKWI-DET-BAB-10042,B0GJ11YEDW,Dettol Baby Care Product (Pack of 3),Dettol,Baby Care,RK World InfoCom Private Limited,193.61,145.79,24.7,44,4.3,24012,True,https://www.amazon.in/dp/B0GJ11YEDW
RKWI-DET-HOM-10043,B0ET8T63J3,Dettol Home Care Product (Single Unit),Dettol,Home Care,RK World InfoCom Private Limited,1255.43,939.06,25.2,774,4.7,3788,True,https://www.amazon.in/dp/B0ET8T63J3
RKWI-DOV-BAB-10044,B00982N2AT,Dove Baby Care Product (1L),Dove,Baby Care,Cocoblu Retail,1190.49,930.96,21.8,698,3.9,12500,True,https://www.amazon.in/dp/B00982N2AT
RKWI-SUR-PER-10045,B0W7LVXWQZ,Surf Excel Personal Care Product (1L),Surf Excel,Personal Care,RK World InfoCom Private Limited,1657.17,1526.25,7.9,56,4.8,9988,False,https://www.amazon.in/dp/B0W7LVXWQZ
RKWI-DOV-PER-10046,B0EQY08P0F,Dove Personal Care Product (1L),Dove,Personal Care,Cocoblu Retail,1094.72,1012.62,7.5,511,4.4,9181,True,https://www.amazon.in/dp/B0EQY08P0F
RKWI-SUR-BAB-10047,B0IN9N6XCJ,Surf Excel Baby Care Product (750ml),Surf Excel,Baby Care,RK World InfoCom Private Limited,2422.7,1727.39,28.7,853,4.1,21732,True,https://www.amazon.in/dp/B0IN9N6XCJ
RKWI-HIM-ORA-10048,B0M92H3TV3,Himalaya Oral Care Product (100g),Himalaya,Oral Care,RK World InfoCom Private Limited,658.2,497.6,24.4,817,4.8,107,True,https://www.amazon.in/dp/B0M92H3TV3
RKWI-PAM-BAB-10049,B0D5EM2VAJ,Pampers Baby Care Product (Pack of 2),Pampers,Baby Care,Appario Retail Private Ltd,403.22,340.72,15.5,126,4.5,15620,True,https://www.amazon.in/dp/B0D5EM2VAJ
RKWI-SUR-ORA-10050,B0HW06XKXB,Surf Excel Oral Care Product (250ml),Surf Excel,Oral Care,RK World InfoCom Private Limited,2495.61,1841.76,26.2,446,4.5,16080,True,https://www.amazon.in/dp/B0HW06XKXB
RKWI-SEN-PER-10051,B0FEWVZNVK,Sensodyne Personal Care Product (250ml),Sensodyne,Personal Care,RK World InfoCom Private Limited,1312.32,1104.97,15.8,822,4.5,21468,True,https://www.amazon.in/dp/B0FEWVZNVK
RKWI-L'O-HEA-10052,B05O3O0LLJ,L'Oreal Health & Wellness Product (1L),L'Oreal,Health & Wellness,RK World InfoCom Private Limited,2387.62,1857.57,22.2,495,3.6,2812,True,https://www.amazon.in/dp/B05O3O0LLJ
RKWI-DOV-HEA-10053,B0UVULEMX1,Dove Health & Wellness Product (Pack of 3),Dove,Health & Wellness,Cocoblu Retail,2182.42,1680.46,23.0,304,4.3,11537,True,https://www.amazon.in/dp/B0UVULEMX1
RKWI-L'O-BAB-10054,B0ID4N1U34,L'Oreal Baby Care Product (500g),L'Oreal,Baby Care,Appario Retail Private Ltd,2437.91,1816.24,25.5,638,4.4,18258,True,https://www.amazon.in/dp/B0ID4N1U34
RKWI-HIM-HEA-10055,B0J17MGFXC,Himalaya Health & Wellness Product (Pack of 2),Himalaya,Health & Wellness,RK World InfoCom Private Limited,1877.33,1327.27,29.3,103,4.5,7064,True,https://www.amazon.in/dp/B0J17MGFXC
RKWI-SEN-HOM-10056,B0Z1UDBFWY,Sensodyne Home Care Product (500g),Sensodyne,Home Care,RK World InfoCom Private Limited,752.05,590.36,21.5,507,4.3,13586,True,https://www.amazon.in/dp/B0Z1UDBFWY
RKWI-L'O-PER-10057,B0KYRYBOVA,L'Oreal Personal Care Product (Pack of 3),L'Oreal,Personal Care,RK World InfoCom Private Limited,822.41,737.7,10.3,150,4.6,9499,True,https://www.amazon.in/dp/B0KYRYBOVA
RKWI-COL-BEA-10058,B0NZS43C5B,Colgate Beauty & Hygiene Product (Single Unit),Colgate,Beauty & Hygiene,RK World InfoCom Private Limited,143.98,103.67,28.0,892,3.9,14081,True,https://www.amazon.in/dp/B0NZS43C5B
RKWI-PON-HEA-10059,B0O8G8QYNP,Pond's Health & Wellness Product (Single Unit),Pond's,Health & Wellness,RK World InfoCom Private Limited,353.07,296.93,15.9,420,4.2,12983,False,https://www.amazon.in/dp/B0O8G8QYNP
RKWI-PON-HOM-10060,B0GSES6M03,Pond's Home Care Product (1L),Pond's,Home Care,RK World InfoCom Private Limited,2055.09,1831.09,10.9,159,3.9,5700,True,https://www.amazon.in/dp/B0GSES6M03
RKWI-HIM-PER-10061,B0WQUUY5X9,Himalaya Personal Care Product (500g),Himalaya,Personal Care,Cloudtail India,874.7,618.41,29.3,333,3.7,2252,True,https://www.amazon.in/dp/B0WQUUY5X9
RKWI-HIM-HOM-10062,B0MCQBNKX9,Himalaya Home Care Product (Pack of 2),Himalaya,Home Care,RK World InfoCom Private Limited,315.71,252.88,19.9,403,4.1,18178,False,https://www.amazon.in/dp/B0MCQBNKX9
RKWI-PON-PER-10063,B0UGVS8Q34,Pond's Personal Care Product (750ml),Pond's,Personal Care,Cloudtail India,2456.73,2282.3,7.1,671,3.7,8133,True,https://www.amazon.in/dp/B0UGVS8Q34
RKWI-SEN-ORA-10064,B07N1YBWML,Sensodyne Oral Care Product (500g),Sensodyne,Oral Care,RK World InfoCom Private Limited,1438.11,1226.71,14.7,268,4.5,21529,False,https://www.amazon.in/dp/B07N1YBWML
RKWI-VAS-BAB-10065,B0X7LXXEZD,Vaseline Baby Care Product (Pack of 3),Vaseline,Baby Care,RK World InfoCom Private Limited,1440.41,1136.48,21.1,346,4.6,21973,True,https://www.amazon.in/dp/B0X7LXXEZD
RKWI-PON-HEA-10066,B0PNNGH8RI,Pond's Health & Wellness Product (250ml),Pond's,Health & Wellness,Appario Retail Private Ltd,429.16,399.55,6.9,874,4.6,16650,True,https://www.amazon.in/dp/B0PNNGH8RI
RKWI-PON-ORA-10067,B05WVFGYW6,Pond's Oral Care Product (100g),Pond's,Oral Care,Appario Retail Private Ltd,1829.84,1718.22,6.1,383,4.4,7798,False,https://www.amazon.in/dp/B05WVFGYW6
RKWI-VAS-HOM-10068,B0I826GYUP,Vaseline Home Care Product (750ml),Vaseline,Home Care,RK World InfoCom Private Limited,1945.65,1468.97,24.5,524,4.2,5325,True,https://www.amazon.in/dp/B0I826GYUP
RKWI-VAS-BAB-10069,B0RN7ZSEDF,Vaseline Baby Care Product (Pack of 2),Vaseline,Baby Care,RK World InfoCom Private Limited,1177.37,967.8,17.8,860,4.1,7290,True,https://www.amazon.in/dp/B0RN7ZSEDF
RKWI-SUR-PER-10070,B0SI9NB74X,Surf Excel Personal Care Product (Single Unit),Surf Excel,Personal Care,RK World InfoCom Private Limited,1998.31,1830.45,8.4,303,4.8,15496,True,https://www.amazon.in/dp/B0SI9NB74X
RKWI-PAM-HEA-10071,B0ACJ4T0SE,Pampers Health & Wellness Product (750ml),Pampers,Health & Wellness,RK World InfoCom Private Limited,790.44,691.63,12.5,58,3.8,20952,True,https://www.amazon.in/dp/B0ACJ4T0SE
RKWI-SEN-PER-10072,B0RTWUZKAM,Sensodyne Personal Care Product (250ml),Sensodyne,Personal Care,Cocoblu Retail,1468.59,1326.14,9.7,694,3.6,11831,True,https://www.amazon.in/dp/B0RTWUZKAM
RKWI-L'O-ORA-10073,B0QW9JA2M0,L'Oreal Oral Care Product (100g),L'Oreal,Oral Care,RK World InfoCom Private Limited,1606.82,1216.36,24.3,762,4.6,4386,True,https://www.amazon.in/dp/B0QW9JA2M0
RKWI-L'O-HOM-10074,B0Y9RGEZ7B,L'Oreal Home Care Product (500g),L'Oreal,Home Care,Cocoblu Retail,582.82,438.28,24.8,917,3.6,10175,True,https://www.amazon.in/dp/B0Y9RGEZ7B
RKWI-L'O-BEA-10075,B0XK5BXJ2P,L'Oreal Beauty & Hygiene Product (Pack of 2),L'Oreal,Beauty & Hygiene,RK World InfoCom Private Limited,1059.05,889.6,16.0,989,4.0,6136,True,https://www.amazon.in/dp/B0XK5BXJ2P
RKWI-SEN-HOM-10076,B00CV3TLCX,Sensodyne Home Care Product (Pack of 2),Sensodyne,Home Care,Cocoblu Retail,834.59,666.84,20.1,446,3.7,14560,True,https://www.amazon.in/dp/B00CV3TLCX
RKWI-COL-HEA-10077,B0PX2CYOS0,Colgate Health & Wellness Product (Pack of 3),Colgate,Health & Wellness,Appario Retail Private Ltd,482.97,454.96,5.8,879,4.4,14373,True,https://www.amazon.in/dp/B0PX2CYOS0
RKWI-DOV-BAB-10078,B08BFQNPCE,Dove Baby Care Product (Pack of 3),Dove,Baby Care,RK World InfoCom Private Limited,979.68,853.3,12.9,295,3.8,3732,True,https://www.amazon.in/dp/B08BFQNPCE
RKWI-PAM-BEA-10079,B0E1ZHWY9H,Pampers Beauty & Hygiene Product (Single Unit),Pampers,Beauty & Hygiene,Cloudtail India,424.75,395.44,6.9,186,4.8,14600,False,https://www.amazon.in/dp/B0E1ZHWY9H
RKWI-HIM-HOM-10080,B0TKKFZZGN,Himalaya Home Care Product (Pack of 3),Himalaya,Home Care,Appario Retail Private Ltd,637.18,448.57,29.6,821,3.7,16203,True,https://www.amazon.in/dp/B0TKKFZZGN
RKWI-L'O-ORA-10081,B09E5COZRO,L'Oreal Oral Care Product (Pack of 3),L'Oreal,Oral Care,RK World InfoCom Private Limited,1081.64,871.8,19.4,138,4.9,21063,True,https://www.amazon.in/dp/B09E5COZRO
RKWI-SEN-HEA-10082,B03TV1ES53,Sensodyne Health & Wellness Product (Pack of 3),Sensodyne,Health & Wellness,RK World InfoCom Private Limited,1342.45,1173.3,12.6,175,4.0,23258,True,https://www.amazon.in/dp/B03TV1ES53
RKWI-L'O-HOM-10083,B0WTEKTSG7,L'Oreal Home Care Product (250ml),L'Oreal,Home Care,RK World InfoCom Private Limited,469.07,368.22,21.5,747,4.8,11078,True,https://www.amazon.in/dp/B0WTEKTSG7
RKWI-VAS-PER-10084,B081JHUWB6,Vaseline Personal Care Product (100g),Vaseline,Personal Care,RK World InfoCom Private Limited,1408.39,1112.63,21.0,319,4.2,22460,True,https://www.amazon.in/dp/B081JHUWB6
RKWI-SEN-PER-10085,B0OQMF5L9M,Sensodyne Personal Care Product (100g),Sensodyne,Personal Care,RK World InfoCom Private Limited,1055.92,802.5,24.0,537,4.3,10471,True,https://www.amazon.in/dp/B0OQMF5L9M
RKWI-DOV-HOM-10086,B0DKNWI5FL,Dove Home Care Product (750ml),Dove,Home Care,RK World InfoCom Private Limited,1485.45,1295.31,12.8,791,3.7,16881,True,https://www.amazon.in/dp/B0DKNWI5FL
RKWI-DET-BEA-10087,B0OQIVBKV4,Dettol Beauty & Hygiene Product (100g),Dettol,Beauty & Hygiene,RK World InfoCom Private Limited,1713.05,1505.77,12.1,18,4.7,14135,True,https://www.amazon.in/dp/B0OQIVBKV4
RKWI-DET-HEA-10088,B0NOUHTCS1,Dettol Health & Wellness Product (Pack of 3),Dettol,Health & Wellness,Appario Retail Private Ltd,770.33,541.54,29.7,706,4.4,4231,False,https://www.amazon.in/dp/B0NOUHTCS1
RKWI-ARI-HOM-10089,B0NFVOBBZ2,Ariel Home Care Product (Pack of 3),Ariel,Home Care,RK World InfoCom Private Limited,1345.4,1228.35,8.7,924,4.2,10761,False,https://www.amazon.in/dp/B0NFVOBBZ2
RKWI-SUR-BAB-10090,B00KM3TZK3,Surf Excel Baby Care Product (Single Unit),Surf Excel,Baby Care,Cloudtail India,983.06,768.75,21.8,436,4.3,23782,False,https://www.amazon.in/dp/B00KM3TZK3
RKWI-HIM-PER-10091,B0X8UIBRSZ,Himalaya Personal Care Product (750ml),Himalaya,Personal Care,RK World InfoCom Private Limited,1958.05,1674.13,14.5,851,4.5,1049,True,https://www.amazon.in/dp/B0X8UIBRSZ
RKWI-PON-PER-10092,B0LFYO1750,Pond's Personal Care Product (1L),Pond's,Personal Care,RK World InfoCom Private Limited,248.48,227.36,8.5,222,4.3,21714,True,https://www.amazon.in/dp/B0LFYO1750
RKWI-ARI-HOM-10093,B0TTY5Y2JR,Ariel Home Care Product (500g),Ariel,Home Care,RK World InfoCom Private Limited,2396.61,2109.02,12.0,315,3.8,9767,True,https://www.amazon.in/dp/B0TTY5Y2JR
RKWI-PON-BAB-10094,B0M72JEYN9,Pond's Baby Care Product (750ml),Pond's,Baby Care,RK World InfoCom Private Limited,2063.11,1466.87,28.9,833,3.7,1393,True,https://www.amazon.in/dp/B0M72JEYN9
RKWI-PON-PER-10095,B0X0H3JUJD,Pond's Personal Care Product (Pack of 3),Pond's,Personal Care,Cloudtail India,1877.14,1670.65,11.0,61,4.4,17416,True,https://www.amazon.in/dp/B0X0H3JUJD
RKWI-NIV-PER-10096,B0ZD1AT7O7,Nivea Personal Care Product (250ml),Nivea,Personal Care,RK World InfoCom Private Limited,2207.16,1834.15,16.9,214,4.6,9427,True,https://www.amazon.in/dp/B0ZD1AT7O7
RKWI-HIM-PER-10097,B0I04B7P47,Himalaya Personal Care Product (250ml),Himalaya,Personal Care,Appario Retail Private Ltd,186.22,137.99,25.9,816,4.2,24558,False,https://www.amazon.in/dp/B0I04B7P47
RKWI-DET-PER-10098,B0V7MQXS6E,Dettol Personal Care Product (100g),Dettol,Personal Care,RK World InfoCom Private Limited,1309.11,1154.64,11.8,838,3.7,5339,True,https://www.amazon.in/dp/B0V7MQXS6E
RKWI-HIM-HOM-10099,B0MKYGVWOP,Himalaya Home Care Product (500g),Himalaya,Home Care,RK World InfoCom Private Limited,886.02,753.12,15.0,107,3.8,4622,True,https://www.amazon.in/dp/B0MKYGVWOP
RKWI-NIV-PER-10100,B0QJLUUJMI,Nivea Personal Care Product (Pack of 2),Nivea,Personal Care,RK World InfoCom Private Limited,1701.69,1419.21,16.6,173,4.1,16481,False,https://www.amazon.in/dp/B0QJLUUJMI
RKWI-PON-HOM-10101,B07NH8RQ9N,Pond's Home Care Product (250ml),Pond's,Home Care,Appario Retail Private Ltd,1783.66,1287.8,27.8,785,4.3,21776,True,https://www.amazon.in/dp/B07NH8RQ9N
RKWI-NIV-HEA-10102,B0TN7E36HT,Nivea Health & Wellness Product (250ml),Nivea,Health & Wellness,RK World InfoCom Private Limited,493.89,363.5,26.4,462,3.7,6745,True,https://www.amazon.in/dp/B0TN7E36HT
RKWI-SEN-PER-10103,B0QSQCQ30O,Sensodyne Personal Care Product (750ml),Sensodyne,Personal Care,Cocoblu Retail,2058.49,1572.69,23.6,602,3.6,13898,True,https://www.amazon.in/dp/B0QSQCQ30O
RKWI-DOV-ORA-10104,B0C7BO119X,Dove Oral Care Product (100g),Dove,Oral Care,Cloudtail India,1107.87,777.72,29.8,401,4.1,12384,True,https://www.amazon.in/dp/B0C7BO119X
RKWI-HIM-HEA-10105,B0MGTT0IAA,Himalaya Health & Wellness Product (500g),Himalaya,Health & Wellness,Appario Retail Private Ltd,815.07,637.38,21.8,567,4.1,12443,True,https://www.amazon.in/dp/B0MGTT0IAA
RKWI-NIV-BEA-10106,B0G51BXW76,Nivea Beauty & Hygiene Product (Pack of 3),Nivea,Beauty & Hygiene,RK World InfoCom Private Limited,676.6,631.27,6.7,618,3.5,19603,True,https://www.amazon.in/dp/B0G51BXW76
RKWI-COL-BAB-10107,B0IH5CSK30,Colgate Baby Care Product (100g),Colgate,Baby Care,RK World InfoCom Private Limited,864.37,692.36,19.9,698,4.6,7777,True,https://www.amazon.in/dp/B0IH5CSK30
RKWI-PAM-HEA-10108,B0JUV0GYUB,Pampers Health & Wellness Product (1L),Pampers,Health & Wellness,RK World InfoCom Private Limited,925.6,730.3,21.1,400,4.6,10459,True,https://www.amazon.in/dp/B0JUV0GYUB
RKWI-ARI-BAB-10109,B01R4KZ36U,Ariel Baby Care Product (Pack of 2),Ariel,Baby Care,RK World InfoCom Private Limited,2421.69,1963.99,18.9,147,4.0,8370,True,https://www.amazon.in/dp/B01R4KZ36U
RKWI-HIM-PER-10110,B0D0GJYV5G,Himalaya Personal Care Product (750ml),Himalaya,Personal Care,Cocoblu Retail,1927.07,1481.92,23.1,582,3.8,6859,False,https://www.amazon.in/dp/B0D0GJYV5G
RKWI-SUR-HOM-10111,B0G0016ZZO,Surf Excel Home Care Product (100g),Surf Excel,Home Care,RK World InfoCom Private Limited,673.39,585.85,13.0,299,4.0,17501,True,https://www.amazon.in/dp/B0G0016ZZO
RKWI-DET-HOM-10112,B0RD9Q46NO,Dettol Home Care Product (Pack of 3),Dettol,Home Care,RK World InfoCom Private Limited,1449.06,1296.91,10.5,159,3.5,18145,False,https://www.amazon.in/dp/B0RD9Q46NO
RKWI-VAS-HEA-10113,B0HIUIT7M1,Vaseline Health & Wellness Product (Single Unit),Vaseline,Health & Wellness,RK World InfoCom Private Limited,1271.69,977.93,23.1,767,4.2,5527,True,https://www.amazon.in/dp/B0HIUIT7M1
RKWI-SUR-BAB-10114,B0R7TXCB48,Surf Excel Baby Care Product (500g),Surf Excel,Baby Care,Appario Retail Private Ltd,1702.72,1292.36,24.1,432,3.7,20681,True,https://www.amazon.in/dp/B0R7TXCB48
RKWI-PON-BAB-10115,B0QCW76XAT,Pond's Baby Care Product (100g),Pond's,Baby Care,RK World InfoCom Private Limited,1086.21,1027.55,5.4,749,3.9,9409,True,https://www.amazon.in/dp/B0QCW76XAT
RKWI-PON-HEA-10116,B06DDFGS3J,Pond's Health & Wellness Product (Single Unit),Pond's,Health & Wellness,Cocoblu Retail,1051.55,901.18,14.3,425,4.1,7984,False,https://www.amazon.in/dp/B06DDFGS3J
RKWI-NIV-HOM-10117,B041DNTCAG,Nivea Home Care Product (250ml),Nivea,Home Care,Appario Retail Private Ltd,1298.66,1093.47,15.8,813,4.0,3139,False,https://www.amazon.in/dp/B041DNTCAG
